Id,DateOfPrice,Value
AC FP,12/14/2009 00:00:00,10
ACA FP,12/14/2009 00:00:00,10
AI FP,12/14/2009 00:00:00,10
AIR FP,12/14/2009 00:00:00,10
ALO FP,12/14/2009 00:00:00,10
BN FP,12/14/2009 00:00:00,10
BNP FP,12/14/2009 00:00:00,10
CA FP,12/14/2009 00:00:00,10
CAP FP,12/14/2009 00:00:00,10
CS FP,12/14/2009 00:00:00,10
EDF FP,12/14/2009 00:00:00,10
EI FP,12/14/2009 00:00:00,10
EN FP,12/14/2009 00:00:00,10
GLE FP,12/14/2009 00:00:00,10
AC FP,12/15/2009 00:00:00,10.086477025634
ACA FP,12/15/2009 00:00:00,10.0191827306236
AI FP,12/15/2009 00:00:00,10.0524504792875
AIR FP,12/15/2009 00:00:00,10.0152034235171
ALO FP,12/15/2009 00:00:00,9.67252508226757
BN FP,12/15/2009 00:00:00,10.1080523990457
BNP FP,12/15/2009 00:00:00,9.80365103612161
CA FP,12/15/2009 00:00:00,9.94659086805572
CAP FP,12/15/2009 00:00:00,10.0876917519827
CS FP,12/15/2009 00:00:00,10.0511590055108
EDF FP,12/15/2009 00:00:00,9.62454412101336
EI FP,12/15/2009 00:00:00,10.2650045724908
EN FP,12/15/2009 00:00:00,9.8153765595818
GLE FP,12/15/2009 00:00:00,9.83851418793718
AC FP,12/16/2009 00:00:00,10.1873707733806
ACA FP,12/16/2009 00:00:00,9.98064380215513
AI FP,12/16/2009 00:00:00,10.2179439533121
AIR FP,12/16/2009 00:00:00,10.1002674913716
ALO FP,12/16/2009 00:00:00,9.64608583879502
BN FP,12/16/2009 00:00:00,10.2055258522387
BNP FP,12/16/2009 00:00:00,9.83733026990375
CA FP,12/16/2009 00:00:00,9.93041746718331
CAP FP,12/16/2009 00:00:00,10.2467890183967
CS FP,12/16/2009 00:00:00,9.94629415670197
EDF FP,12/16/2009 00:00:00,9.42735016112681
EI FP,12/16/2009 00:00:00,10.529179543666
EN FP,12/16/2009 00:00:00,9.64567240836676
GLE FP,12/16/2009 00:00:00,9.79893413994873
AC FP,12/17/2009 00:00:00,10.2668126668491
ACA FP,12/17/2009 00:00:00,10.0490018706271
AI FP,12/17/2009 00:00:00,10.2390213405909
AIR FP,12/17/2009 00:00:00,9.97584587952442
ALO FP,12/17/2009 00:00:00,9.88535986369033
BN FP,12/17/2009 00:00:00,10.4085729481356
